time,motion,distance
1683736642.9512901,0.0,1187.09
1683736644.3882806,1.0,1186.91
1683736645.6324546,0.0,50.03
1683736646.844081,0.0,63.8
1683736648.1841424,1.0,80.89
1683736649.7210927,0.0,81.02
1683736651.0135496,0.0,84.56
1683736652.1220293,0.0,82.79
1683736653.2296734,0.0,81.55
1683736654.535786,0.0,71.43
1683736655.7540445,0.0,82.6
1683736656.981471,0.0,82.36
1683736658.0874994,1.0,87.87
1683736659.4398558,0.0,75.21
1683736660.546076,0.0,192.12
1683736661.8958015,0.0,192.54
1683736663.0196557,0.0,192.13
1683736664.3657298,0.0,192.12
1683736665.4788907,1.0,192.1
1683736666.81369,0.0,191.73
1683736667.9229972,0.0,192.1
1683736669.0469074,0.0,191.68
1683736670.1992257,0.0,192.13
1683736671.3042932,0.0,191.69
1683736672.4059937,0.0,192.13
1683736673.5139675,0.0,192.08
1683736674.9163451,0.0,192.08
1683736676.4573944,0.0,192.08
1683736677.9922647,0.0,191.71
1683736679.7360415,0.0,122.18
1683736681.3604026,1.0,68.27
1683736682.6535144,0.0,51.44
1683736684.0154338,0.0,1187.03
1683736685.2833996,1.0,49.88
1683736687.5068493,0.0,42.74
1683736688.7919855,0.0,41.14
1683736690.1599865,0.0,44.52
1683736691.3867931,0.0,49.56
1683736692.564162,0.0,71.64
1683736693.8441334,0.0,49.49
1683736695.076215,0.0,77.78
1683736696.3033383,0.0,198.58
1683736697.5312102,0.0,76.18
1683736699.0869925,1.0,449.46
1683736700.2015698,0.0,178.11
1683736701.6244516,0.0,57.46
1683736703.0777266,1.0,1186.89
1683736704.2564924,0.0,1187.16
1683736705.5232918,1.0,1187.33
1683736706.6938722,0.0,1187.19
1683736707.9827602,0.0,75.82
1683736709.2097528,0.0,64.14
1683736710.4357526,1.0,74.99
1683736711.7624815,0.0,65.14
1683736713.0477397,0.0,63.56
1683736714.1617553,0.0,77.21
1683736715.3052545,0.0,76.43
1683736716.5764906,1.0,64.82
1683736717.914695,0.0,76.86
1683736719.3415093,1.0,1187.03
1683736720.5063295,0.0,1187.16
1683736721.899062,1.0,66.66
1683736723.2369556,0.0,66.39
1683736724.4185257,0.0,1187.08
1683736725.7924316,0.0,1186.96
1683736727.043322,0.0,36.77
1683736728.1532168,0.0,27.11
1683736729.2551405,1.0,32.32
1683736730.4043126,0.0,28.48
1683736731.5002902,0.0,38.37
1683736732.5933762,0.0,36.18
1683736733.8944457,0.0,33.25
1683736735.7395945,0.0,1187.43
